estacion,n,RMSE,MAE,Bias,Cor_Pearson,Cor_Spearman,producto
Belisario,6794,0.9937899747356932,0.8442584183995925,-0.7791134103052934,0.8534892792215678,0.8479800617719404,ERA5
Carapungo,6776,0.6178068287019242,0.4923156043567087,0.1271307326276004,0.813924670661869,0.8002812045348415,ERA5
Cotocollao,6762,1.0641931504677893,0.9308072797602247,0.9036358614771569,0.8320462584579748,0.8195656935780117,ERA5
LosChillos,6771,2.762034000161664,2.6766609834092896,-2.669600484895808,0.7974562631188052,0.7981796575835128,ERA5
Tumbaco,6747,3.2587315956362715,3.147148713328454,-3.136590341231421,0.7226331531482388,0.7429857594944005,ERA5
Belisario,6794,3.559082537111031,3.4733488790909233,3.4733488790909233,0.7598852238513361,0.7529705764884929,MERRA2
Carapungo,6776,2.832682830475361,2.7516942711271293,2.7515844449268143,0.7594813821905531,0.7535279210859541,MERRA2
Cotocollao,6762,3.5865998939994603,3.5275957928149477,3.5275957928149477,0.7642859319812801,0.758747921731766,MERRA2
LosChillos,6771,1.8894690224996045,1.6945633100062947,-1.6468172608767069,0.6154999209173643,0.6024681556071677,MERRA2
Tumbaco,6747,6.509856510530017,6.325668552202054,-6.325668552202054,0.13809467177009477,0.14187589727134084,MERRA2
